รหัสสินค้า,รายละเอียด,หน่วยนับ,หมวด,ต้นงวด,ขาย,ซื้อ,รับคืน,ปรับปรุง,คงเหลือ, ต้นทุนสินค้ารวม , ราคาต้นทุนเฉลี่ย ,กลุ่ม,ประเภท,คุณสมบัติ,Brand,รหัศผู้จำหน่าย,ชื่อผู้จำหน่าย, ราคาขาย ,รายการที่เลือก
8852431008184,(ไม้ใช้)เหล็กข้ออ้อยSD-30 12มม.x10ม.(ไม่ใช้),เส้น,03,24,0,0,0,0,24," 3,185.05 ", 132.71 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,SD-30,2017,นพดลพานิช บจก., 210 ,n
4811201,(ไม่ใช้)เหล็กข้ออ้อยSD-30(โรงเล็ก)12มม.x10ม.,เส้น,03,417,0,0,0,0,417," 74,652.93 ", 179.02 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงเล็ก,P004,#N/A, 180 ,n
4821300,(ไม่ใช้)เหล็กข้ออ้อยSD-40(โรงใหญ่)12มม.x12ม.,เส้น,03,-40,0,0,0,0,-40, -   , -   ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงใหญ่,0,#N/A, 160 ,n
4011221,เหล็กข้ออ้อยSD-30(BSI)ขนาด12มม.x10ม.,เส้น,03,1,0,0,0,0,1, 132.71 , 132.71 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,BSI,0,#N/A, 145 ,n
4011610,เหล็กข้ออ้อยSD-30(BSI)ขนาด16มม.x10ม.,เส้น,03,187,0,0,0,0,187," 43,352.34 ", 231.83 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,BSI,0,#N/A, 340 ,n
4812502,เหล็กข้ออ้อยSD-30(บลส)25มม.x10ม.,เส้น,03,-10,0,0,0,0,-10,"-9,168.22 ", 916.82 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,บลส,1125,เกรท สตีลเวอร์ค บจก.[GSW], 890 ,n
4812501,เหล็กข้ออ้อยSD-30(โรงเล็ก)ขนาด25มม.x10ม.,เส้น,03,26,0,0,0,0,26," 19,942.77 ", 767.03 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงเล็ก,2703,วีระพานิช หจก., 890 ,n
4841201,เหล็กข้ออ้อยSD-30(โรงเล็กเบา)ขนาด12มม.x10ม.,เส้น,03,-161,0,0,0,0,-161, 465.29 ,-2.89 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงเล็กเบา,2002,กมลวิทย์ เชียงใหม่ หจก., 130 ,n
4841601,เหล็กข้ออ้อยSD-30(โรงเล็กเบา)ขนาด16มม.x10ม.,เส้น,03,-250,0,0,0,0,-250, -   , -   ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงเล็กเบา,2002,กมลวิทย์ เชียงใหม่ หจก., 260 ,n
4812002,เหล็กข้ออ้อยSD-30(โรงใหญ่)20มม.x10ม.,เส้น,03,2,0,0,0,0,2, 530.84 , 265.42 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงใหญ่,P004,#N/A, 950 ,n
4822002,เหล็กข้ออ้อยSD-40 (บลส)20มม.x10ม.,เส้น,03,61,0,0,0,0,61," 29,900.11 ", 490.17 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,บลส,2703,วีระพานิช หจก., 550 ,n
4821201,เหล็กข้ออ้อยSD-40 บลส(พับ/ตรง)12มม.x10ม.,เส้น,03,155,0,0,0,0,155," 27,055.67 ", 174.55 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,บลส,2017,นพดลพานิช บจก., 200 ,n
4821601,เหล็กข้ออ้อยSD-40(บลส.)ขนาด16มม.x10ม.,เส้น,03,192,0,0,0,0,192," 103,610.93 ", 539.64 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,บลส,2017,นพดลพานิช บจก., 352 ,n
4821202,เหล็กข้ออ้อยSD-40(โรงใหญ่)12มม.x10ม.,เส้น,03,-59,0,0,0,0,-59, -   , -   ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงใหญ่,2017,นพดลพานิช บจก., 245 ,n
4821602,เหล็กข้ออ้อยSD-40(โรงใหญ่)16มม.x10ม.,เส้น,03,-25,0,0,0,0,-25," 28,768.33 ","-1,150.73 ",ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงใหญ่,2017,นพดลพานิช บจก., 328 ,n
4822501,เหล็กข้ออ้อยSD-40(โรงใหญ่)25มม.x10ม.,เส้น,03,19,0,0,0,0,19," 17,046.73 ", 897.20 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงใหญ่,P004,#N/A, 858 ,n
2-2204065,เหล็กเส้น 12มมSR #065,เส้น,03,36,0,0,0,0,36," 9,288.00 ", 258.00 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,2002,กมลวิทย์ เชียงใหม่ หจก., 190 ,n
2-2204071,เหล็กเส้น 12มมSR #071,เส้น,03,193,0,0,0,0,193," 17,678.00 ", 91.60 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,P004,#N/A, 180 ,n
2-2205000,เหล็กเส้น 15 มม SR-24*,เส้น,03,-47,0,0,0,0,-47, 282.72 ,-6.02 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,SR-24,2002,กมลวิทย์ เชียงใหม่ หจก., 305 ,n
2-2205120,เหล็กเส้น 15 มมSR#120,เส้น,03,137,0,0,0,0,137," 21,106.00 ", 154.06 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,P004,#N/A, 450 ,n
2-2205140,เหล็กเส้น 15 มมSR#140,เส้น,03,288,0,0,0,0,288," 55,772.00 ", 193.65 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,P004,#N/A, 480 ,n
2-2202004,เหล็กเส้น 2 หุน # 004,เส้น,03,1536,0,0,0,0,1536," 10,404.50 ", 6.77 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,P004,#N/A, 15 ,n
2-2202002,เหล็กเส้น 2 หุน(ลาย),เส้น,03,-569,0,0,0,0,-569, -   , -   ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,ลาย,0,#N/A, 45 ,n
2-2208000,เหล็กเส้น 25 มม SR-24,เส้น,03,32,0,0,0,0,32," 16,000.00 ", 500.00 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,SR-24,P004,#N/A, 950 ,n
2-2203031,เหล็กเส้น 3 หุน #031,เส้น,03,8,0,0,0,0,8, 280.00 , 35.00 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,P004,#N/A, -   ,n
2-2202000,เหล็กเส้น 6 มม SR #020,เส้น,03,68,50,60,70,80,100," 2,582.86 ", 37.98 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,2002,กมลวิทย์ เชียงใหม่ หจก., 48 ,n
2-2202001,เหล็กเส้น 6 มม SR-24 (โรงใหญ่),เส้น,03,32,0,0,0,0,32," 1,696.00 ", 53.00 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงใหญ่,P004,#N/A, 56 ,n
2-2202017,เหล็กเส้น 6 มมSR #017,เส้น,03,284,0,0,0,0,284," 10,650.00 ", 37.50 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,P004,#N/A, 64 ,n
2-2202010,เหล็กเส้น 6มมลาย #010,เส้น,03,230,0,0,0,0,230," 4,953.59 ", 21.54 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,2002,กมลวิทย์ เชียงใหม่ หจก., 22 ,n
2-2203000,เหล็กเส้น 9 มม SR-24,เส้น,03,19,0,0,0,0,19," 2,242.00 ", 118.00 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,SR-24,2703,วีระพานิช หจก., 130 ,n
2-2203001,เหล็กเส้น 9 มม SR-24 (โรงใหญ่),เส้น,11,13,0,0,0,0,13," 1,445.79 ", 111.22 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงใหญ่,P004,#N/A, 125 ,n
2-2203036,เหล็กเส้น 9 มมSR #036,เส้น,03,373,0,0,0,0,373," 13,241.50 ", 35.50 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,P004,#N/A, -   ,n
2-2203038,เหล็กเส้น 9 มมSR #038,เส้น,03,-1060,0,0,0,0,-1060, 720.00 ,-0.68 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,2703,วีระพานิช หจก., 110 ,n
2-2203042,เหล็กเส้น 9 มมSR #042,เส้น,03,693,0,0,0,0,693," 67,430.00 ", 97.30 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,2017,นพดลพานิช บจก., 122 ,n
4781201,เหล็กเส้นกลมขนาด 12 มม.x10 ม. บลส.,เส้น,03,7,0,0,0,0,7," 1,719.71 ", 245.67 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,บลส,2017,นพดลพานิช บจก., 200 ,n
4781501,เหล็กเส้นกลมขนาด 15 มม.x10 ม. บลส.,เส้น,03,51,0,0,0,0,51," 18,728.04 ", 367.22 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,บลส,2703,วีระพานิช หจก., 307 ,n
2004550005,เหล็กเส้นกันขโมย,เส้น,11,2010,0,0,0,0,2010," 38,382.00 ", 19.10 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,1829,สมปอง, -   ,n
4812001,เหล็กข้ออ้อยSD-30(โรงเล็ก)ขนาด20มม.x10ม.,เส้น,03,109,7,0,1,0,103," 40,293.12 ", 391.20 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงเล็ก,2703,วีระพานิช หจก., 475 ,y
4841202,เหล็กข้ออ้อยSD-30(โรงเล็กหนัก)12มม.x10ม.,เส้น,03,536,589,600,0,0,547," 95,338.39 ", 174.29 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงเล็กหนัก,2002,กมลวิทย์ เชียงใหม่ หจก., 175 ,y
4811601,เหล็กข้ออ้อยSD-30(โรงเล็กหนัก)16มม.x10ม.,เส้น,03,134,75,0,0,0,59," 28,476.00 ", 482.64 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,โรงเล็กหนัก,2703,วีระพานิช หจก., 260 ,y
4021201,เหล็กข้ออ้อยSD-40 12 มม.10ม.(เต็ม),เส้น,89,116,842,780,10,0,64," 10,238.33 ", 159.97 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,SD-40,1062,บริษัท ปูนซิเมนต์ไทย จำกัด, 220 ,y
4021601,เหล็กข้ออ้อยSD-40 16 มม.10ม.(เต็ม),เส้น,89,22,19,170,0,0,173," 45,309.36 ", 261.90 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,SD-40,1062,บริษัท ปูนซิเมนต์ไทย จำกัด, 328 ,y
4822001,เหล็กข้ออ้อยSD-40(พับ/ตรง)ขนาด20มม.x10ม.,เส้น,03,26,1,0,0,0,25," 15,837.39 ", 633.50 ,ก่อสร้าง,เหล็กเส้น,เหล็กข้ออ้อย,SD-40,2017,นพดลพานิช บจก., 620 ,y
2-2204000,เหล็กเส้น 12 มม SR# 080,เส้น,03,138,9,0,0,0,129," 79,653.24 ", 617.47 ,ก่อสร้าง,เหล็กเส้น,เหล็กเส้นกลม,โรงเล็ก,2703,วีระพานิช หจก., 180 ,y
