รหัสสินค้า,รายละเอียด,หน่วยนับ,หมวด,สินค้าต้นงวด,จำนวนขาย,จำนวนซื้อ,จำนวนรับคืน,จำนวนปรับปรุง,จำนวนคงเหลือ,ต้นทุนสินค้ารวม,ราคาต้นทุนเฉลี่ย
  00-00-100-8,แปรงถ่าน # CB 100,ชุด,11,5,0,0,0,0,5,0,0
 00-00-153-99,แปรงถ่าน MAKITA # CB-153 OTTO CUT,ชุด,90,48,0,0,0,0,48,3066,63.875
 00-06-127-88,แปรงถ่าน BOSCH # GBH26E,ชุด,90,8,0,0,0,0,8,0,0
 2004100313,ตะปูควงเหล็กปลายสว่าน 32 มม.ยึดไม้ฝา,ตัว,80,7788,0,0,0,0,7788,0,0
.15,.15,ตัว,11,1,0,0,0,0,1,0,0
.25,.25,บาท,11,4,62,0,0,80,22,0,0
.5,,,11,410,20,0,0,0,390,0,0
.50,.50,,20,70,6,0,0,0,64,0,0
.75,.75,,11,7,20,0,0,60,47,0,0
0.10,0.10,,09,106,0,0,0,0,106,0,0
0.25,0.25,,09,32,0,0,0,0,32,0,0
0.50,0.50,,09,569,0,0,0,0,569,0,0
0.75,0.75,09,11,20,0,0,0,0,20,0,0
00,บิลยกเลิก,,20,9914,0,0,0,0,9914,0,0
00-00-006-99,แปรงถ่าน MAKITA # CB-5 OTTO-CUT,ชุด,90,2,1,0,0,0,1,0,0
00-00-009-88,แปรงถ่าน MAKITA # CB-9,ชุด,90,15,0,0,0,0,15,600,40
00-00-010-99,แปรงถ่าน MAKITA # CB-10 OTTO,ชุด,90,2,0,0,0,0,2,0,0
00-00-106-99,แปรงถ่าน MAKITA # CB-106 OTTO CUT,ชุด,90,2,0,0,0,0,2,0,0
00-00-408-88,แปรงถ่าน MAKITA # CB-408,ชุด,90,19,0,0,0,0,19,633.84,33.36
00-00-999-88,ชุด HOT มากิต้า,ชุด,11,1,0,0,0,0,1,10500,10500
00-01-058-88,แปรงถ่าน มอเตอร์ 1แรง Mitsubishi SI-K5,ชุด,90,5,3,0,1,0,3,0,0
00-06-127-88,แปรงถ่าน RYOBI GBH25E,ชุด,90,126,0,0,0,0,126,710.277,5.6371
00-90100602,กาพ่นสี IOXYGEN#SG-112,ใบ,80,4,0,0,0,0,4,640,160
000000058810,แปรงถ่าน MAKITA # CB-5,ชุด,90,8,0,0,0,0,8,232,29
000000058819,แปรงถ่าน NKT# CB-105,ชุด,90,20,0,0,0,0,20,696,34.8
0000000648813,แปรงถ่าน NKT # CB-64,ชุด,90,50,0,0,0,20,70,2593.92,37.056
0000000649919,แปรงถ่าน NKT # CB-64 OTTO,ชุด,90,5,0,0,0,0,5,0,0
000000078818,แปรงถ่าน MAKITA # CB-7,ชุด,90,24,0,0,0,0,24,960,40
000000098816,แปรงถ่าน NKT# CB-9,ชุด,90,9,0,0,0,0,9,371.925,41.325
000000099912,แปรงถ่าน NKT# CB-5 OTTO,ชุด,90,2,0,0,0,0,2,0,0
000000108119,"แปรงถ่าน ไดนาโม 1"" KVA (00-99-108-1)",ชุด,90,25,5,0,0,0,20,572.3077,28.6154
000000108812,แปรงถ่าน NKT# CB-10,ชุด,90,12,1,0,0,0,11,382.8,34.8
000000109918,แปรงถ่าน NKT# CB-10 OTTO,ชุด,90,1,0,0,0,0,1,0,0
000000188814,แปรงถ่าน # CB 18,ชุด,80,18,0,0,0,0,18,341.0526,18.9474
000000518819,แปรงถ่าน MAKITA # CB-51,ชุด,90,3,1,0,0,0,2,72.7273,36.3636
000000528818,แปรงถ่าน NKT # CB-52,ชุด,90,26,1,0,0,0,25,877.3585,35.0943
000000529914,แปรงถ่าน NKT # CB-52 OTTO CUT,ชุด,90,2,0,0,0,0,2,0,0
000000558815,แปรงถ่าน MAKITA # CB-55,ชุด,90,5,0,0,0,0,5,0,0
000000559911,แปรงถ่าน MAKITA # CB-55 OTTO CUT,ชุด,90,1,0,0,0,0,1,0,0
000000648813,แปรงถ่าน NKT # CB-64,ชุด,90,12,34,0,0,24,2,82.65,41.325
000000648820,แปรงถ่าน # CB 64,ชุด,80,8,0,0,0,0,8,272,34
000000649919,แปรงถ่าน NKT # CB-64 OTTO,ชุด,90,2,3,0,0,1,0,0,0
000000668815,แปรงถ่าน NKT # CB-55,ชุด,90,30,0,0,0,0,30,1044,34.8
000000688,แปรงถ่าน MAKITA # CB-6,ชุด,90,1,0,0,0,0,1,40,40
000000708814,แปรงถ่าน # CB 70,ชุด,11,8,0,0,0,0,8,232,29
000000709910,แปรงถ่าน NKT# CB-70 OTTO CUT,ชุด,90,5,2,0,0,0,3,0,0
000000788915,แปรงถ่าน MAKITA # CB-7 OTTO,ชุด,90,2,0,0,0,0,2,0,0
000000988919,แปรงถ่าน MAKITA # CB-9,ชุด,90,22,0,0,0,0,22,760,34.5455
000001008814,แปรงถ่าน MAKITA # CB-100,ชุด,90,2,0,0,0,0,2,63.2727,31.6364
000001018813,แปรงถ่าน MAKITA # CB-101,ชุด,90,34,0,0,0,0,34,1348.5175,39.6623
000001019919,แปรงถ่าน NKT # CB-101OTTO CUT,ชุด,90,1,0,0,0,0,1,0,0
000001058819,แปรงถ่าน MAKITA # CB-105,ชุด,90,4,6,0,0,2,0,0,0
000001059915,แปรงถ่าน NKT # CB-105 OTTO CUT,ชุด,90,1,1,0,0,0,0,0,0
000001068818,แปรงถ่าน MAKITA # CB-106,ชุด,90,18,0,0,0,0,18,0,0
000001088,แปรงถ่าน MAKITA # CB-10,ชุด,90,9,0,0,0,0,9,0,0
000001138818,แปรงถ่าน # CB 113,ชุด,80,13,1,0,0,0,12,480,40
000001168815,แปรงถ่าน # CB 116,ชุด,80,12,2,0,0,0,10,400,40
000001528817,แปรงถ่าน MAKITA # CB-152,ชุด,11,8,1,0,0,0,7,259.4273,37.061
000001529913,แปรงถ่าน MAKITA # CB-152 OTTO CUT,ชุด,90,4,3,0,0,0,1,0,0
000001539912,แปรงถ่าน MAKITA # CB-153 OTTO CUT,ชุด,90,0,3,0,0,6,3,0,0
000001658811,แปรงถ่าน MAKITA # CB-165,ชุด,11,9,0,0,0,0,9,612,68
0000018330588,"เจียร์มือ NKT 4"" # G-105CM 4""",ตัว,90,0,0,1,0,0,1,0,0
000001888,แปรงถ่าน # CB-18,ชุด,11,0,1,0,0,1,0,0,0
00000188814,แปรงถ่าน NKT CB-18,ชุด,89,10,1,0,0,0,9,0,0
000002038810,แปรงถ่าน MAKITA # CB-203,ชุด,90,38,0,0,0,0,38,2022.6814,53.2285
000002039916,แปรงถ่าน NKT # CB-203 OTTO CUT,ชุด,90,1,0,0,0,0,1,0,0
000002048819,แปรงถ่าน # CB-204,ชุด,90,18,0,0,0,0,18,677.5697,37.6428
000002518817,แปรงถ่าน NKT # CB-251,ชุด,90,11,5,0,0,0,6,231.756,38.626
0000030001213,ไขควง 5.8 มม.*38,ดอก,89,0,0,24,0,0,24,0,0
000003038819,แปรงถ่าน MAKITA # CB-303,ชุด,90,3,2,0,0,0,1,40,40
000003039915,แปรงถ่าน MAKITA # CB-303 OTTO CUT,ชุด,90,3,0,0,0,0,3,0,0
000003268810,แปรงถ่าน MAKITA # CB-326,ชุด,90,22,0,0,0,0,22,843.2432,38.3292
000003269916,แปรงถ่าน MAKITA # CB-326OTTO CUT,ชุด,90,3,0,0,0,0,3,204,68
0000040001517,"ฝาปะกับกบไฟฟ้า 3""NKT # 1100",ชุด,90,29,1,0,0,0,28,1619.296,57.832
0000040002415,ที่ตั้งใบกบ # 1100,อัน,80,4,0,0,0,0,4,240,60
0000040002811,"ฝาปะกับกบไฟฟ้า 3""NKT # 1600",ชุด,90,5,2,10,0,0,13,597.8542,45.9888
0000040005911,หน้ากบปรับระดับ # 1804,อัน,90,2,0,0,0,0,2,747.66,373.83
000004088813,แปรงถ่าน MAKITA # CB-408,ชุด,90,29,0,0,0,0,29,1160,40
000004089919,แปรงถ่าน MAKITA # CB-408 OTTO,ชุด,90,1,0,0,0,0,1,0,0
000004118817,แปรงถ่าน MAKITA # CB-411,ชุด,90,3,0,0,0,0,3,100.08,33.36
000004119913,แปรงถ่าน NKT # CB-411 OTTO-CUT,ชุด,90,7,0,0,0,0,7,0,0
000004198819,แปรงถ่าน MAKITA # CB-419,ชุด,90,27,0,0,0,0,27,999.5826,37.0216
000004199915,แปรงถ่าน MAKITA # CB-419 OTTO CUT,ชุด,90,1,1,0,0,0,0,0,0
000004199922,แปรงถ่าน MAKITA # CB-419 OTTO CUT,ชุด,90,20,0,0,0,0,20,1140,57
0000045033518,ฝากันสะเก็ด MAKITA#9500,อัน,20,4,0,0,0,0,4,320,80
000005588916,แปรงถ่าน MAKITA # CB-55,ชุด,90,18,1,0,0,0,17,618.1818,36.3636
0000068048815,แปรงถ่าน BOSCH # GWS 7-100,ชุด,89,20,0,0,0,0,20,826.5,41.325
0000068049911,แปรงถ่าน BOSCH # GWS 8-100 OTTO CUT,ชุด,89,2,0,0,0,0,2,0,0
0000070010312,ฝาปิดถ่าน NKT C-130,อัน,90,16,9,0,0,0,7,65.422,9.346
0000070012019,ฝาปิดถ่าน NKT C-120,อัน,90,19,2,0,0,0,17,158.882,9.346
0000070017519,ฝาปิดถ่าน NKT C-175,อัน,90,6,0,0,0,0,6,67.29,11.215
000007088919,แปรงถ่าน NKT # CB-70,ชุด,90,28,13,0,0,0,15,500.4,33.36
0000085880009,แปรงถ่าน NKT # CB-85,ชุด,90,20,1,0,0,0,19,719.1595,37.8505
0000085990005,แปรงถ่าน NKT # CB-85 OTTO,ชุด,90,2,1,0,0,0,1,0,0
000010088,แปรงถ่าน MAKITA # CB-100,ชุด,90,50,0,0,0,0,50,0,0
0000101001210,"ประแจขันเอนกประสงค์เครื่องขัด 5""-9""",อัน,90,9,0,0,0,0,9,720,80
000010188910,แปรงถ่าน MAKITA # CB-101 OTTO CUT,ชุด,90,1,0,0,0,0,1,0,0
000010588819,"แปรงถ่าน MITSU มอเตอร์ 1/2""(1-1.75HP)",ชุด,20,3,0,0,0,0,3,123.3,41.1
000010588918,แปรงถ่าน MAKITA # CB-105 OTTO CUT,ชุด,90,2,0,0,0,0,2,0,0
000015388124,แปรงถ่าน MAKITA # CB-153,ชุด,90,50,0,0,0,0,50,1427.66,28.5532
000020001124,น๊อตยึด ฉากใบกบ,ตัว,20,89,0,0,0,0,89,391.6,4.4
00002000124,น๊อตยึด ฉากใบกบ,ตัว,20,2,16,0,0,50,36,0,0
000020388,แปรงถ่าน MAKITA # CB-203,ชุด,90,26,0,0,0,0,26,0,0
000020388911,แปรงถ่าน MAKITA # CB-203,ชุด,90,2,0,0,0,0,2,0,0
000020488918,แปรงถ่าน MAKITA # CB-204,ชุด,90,3,0,0,0,0,3,136,45.3333
000030318816,แปรงถ่าน MAKITA # CB-303A,ชุด,90,19,3,0,0,0,16,134.7368,8.4211
000030319912,แปรงถ่าน MAKITA # CB-303A OTTO CUT,ชุด,90,2,0,0,0,0,2,0,0
000030388,000030388,00003038,11,0,1,0,0,5,4,0,0
